Study Name	Cu-110
Sample Name	2024-05-01
Run Name	cooldown
Operator	Angus+Akarsh
Date	5/1/2024
Time	14:47
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	2:52:28 PM
	
Time	Amplitude
0.000000E+0	2.768115E-3
5.000000E-11	2.593394E-3
1.000000E-10	2.408396E-3
1.500000E-10	2.223398E-3
2.000000E-10	1.997290E-3
2.500000E-10	1.747200E-3
3.000000E-10	1.555350E-3
3.500000E-10	1.425166E-3
4.000000E-10	1.301834E-3
4.500000E-10	1.199057E-3
5.000000E-10	1.144243E-3
5.500000E-10	1.130539E-3
6.000000E-10	1.140817E-3
6.500000E-10	1.212761E-3
7.000000E-10	1.360074E-3
7.500000E-10	1.534794E-3
8.000000E-10	1.716367E-3
8.500000E-10	1.925346E-3
9.000000E-10	2.127473E-3
9.500000E-10	2.298768E-3
1.000000E-9	2.435804E-3
1.050000E-9	2.552284E-3
1.100000E-9	2.637931E-3
1.150000E-9	2.672190E-3
1.200000E-9	2.651635E-3
1.250000E-9	2.600246E-3
1.300000E-9	2.552284E-3
1.350000E-9	2.466637E-3
1.400000E-9	2.322749E-3
1.450000E-9	2.165158E-3
1.500000E-9	2.021271E-3
1.550000E-9	1.873958E-3
1.600000E-9	1.736922E-3
1.650000E-9	1.623868E-3
1.700000E-9	1.531369E-3
1.750000E-9	1.486832E-3
1.800000E-9	1.510813E-3
1.850000E-9	1.579331E-3
1.900000E-9	1.671830E-3
1.950000E-9	1.791736E-3
2.000000E-9	1.932198E-3
2.050000E-9	2.069233E-3
2.100000E-9	2.206269E-3
2.150000E-9	2.336453E-3
2.200000E-9	2.408396E-3
2.250000E-9	2.435804E-3
2.300000E-9	2.442655E-3
2.350000E-9	2.408396E-3
2.400000E-9	2.315897E-3
2.450000E-9	2.199417E-3
2.500000E-9	2.076085E-3
2.550000E-9	1.966457E-3
2.600000E-9	1.904791E-3
2.650000E-9	1.908216E-3
2.700000E-9	1.945901E-3
2.750000E-9	1.997290E-3
2.800000E-9	2.103492E-3
2.850000E-9	2.240528E-3
2.900000E-9	2.329601E-3
2.950000E-9	2.353582E-3
3.000000E-9	2.333027E-3
3.050000E-9	2.302194E-3
3.100000E-9	2.243954E-3
3.150000E-9	2.130899E-3
3.200000E-9	1.956179E-3
3.250000E-9	1.778033E-3
3.300000E-9	1.634145E-3
3.350000E-9	1.507387E-3
3.400000E-9	1.408036E-3
3.450000E-9	1.356648E-3
3.500000E-9	1.356648E-3
3.550000E-9	1.370352E-3
3.600000E-9	1.425166E-3
3.650000E-9	1.500536E-3
3.700000E-9	1.548498E-3
3.750000E-9	1.562202E-3
3.800000E-9	1.593035E-3
3.850000E-9	1.610164E-3
3.900000E-9	1.569053E-3
3.950000E-9	1.534794E-3
4.000000E-9	1.565627E-3
