fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.700000 42.452097 37.795627
3.750000 42.823846 37.130728
3.800000 43.039508 36.477441
3.850000 43.079721 35.835550
3.900000 42.930340 35.204841
3.950000 42.582689 34.585107
4.000000 42.033674 33.976143
4.050000 41.285745 33.377750
4.100000 40.346721 32.789732
4.150000 39.229472 32.211896
4.200000 37.951485 31.644056
4.250000 36.534317 31.086026
4.300000 35.002945 30.537627
4.350000 33.385057 29.998682
4.400000 31.710271 29.469017
4.450000 30.009331 28.948462
4.500000 28.313283 28.436852
4.550000 26.652663 27.934023
4.600000 25.056715 27.439815
4.650000 23.552652 26.954072
4.700000 22.164995 26.476639
4.750000 20.914983 26.007368
4.800000 19.820088 25.546109
4.850000 18.893632 25.092718
4.900000 18.144523 24.647053
4.950000 17.577109 24.208976
5.000000 17.191148 23.778349
5.050000 16.981907 23.355039
5.100000 16.940366 22.938916
5.150000 17.053535 22.529849
5.200000 17.304865 22.127713
5.250000 17.674739 21.732385
5.300000 18.141042 21.343743
5.350000 18.679778 20.961667
5.400000 19.265721 20.586042
5.450000 19.873092 20.216753
5.500000 20.476231 19.853688
5.550000 21.050259 19.496735
5.600000 21.571697 19.145788
5.650000 22.019048 18.800740
5.700000 22.373306 18.461487
5.750000 22.618400 18.127927
5.800000 22.741545 17.799960
5.850000 22.733506 17.477487
5.900000 22.588764 17.160413
5.950000 22.305584 16.848642
6.000000 21.885980 16.542082
6.050000 21.335588 16.240642
6.100000 20.663444 15.944232
6.150000 19.881686 15.652764
6.200000 19.005169 15.366153
6.250000 18.051031 15.084313
6.300000 17.038201 14.807163
6.350000 15.986871 14.534619
6.400000 14.917946 14.266604
6.450000 13.852490 14.003037
6.500000 12.811177 13.743842
6.550000 11.813757 13.488944
6.600000 10.878567 13.238267
6.650000 10.022082 12.991740
6.700000 9.258522 12.749291
6.750000 8.599528 12.510850
6.800000 8.053913 12.276347
6.850000 7.627485 12.045715
6.900000 7.322954 11.818888
6.950000 7.139927 11.595800
7.000000 7.074971 11.376387
7.050000 7.121766 11.160586
7.100000 7.271321 10.948336
7.150000 7.512257 10.739576
7.200000 7.831149 10.534246
7.250000 8.212911 10.332287
7.300000 8.641218 10.133643
7.350000 9.098949 9.938257
7.400000 9.568648 9.746074
7.450000 10.032976 9.557038
7.500000 10.475158 9.371097
7.550000 10.879403 9.188198
7.600000 11.231293 9.008290
7.650000 11.518125 8.831322
7.700000 11.729207 8.657244
7.750000 11.856090 8.486007
7.800000 11.892742 8.317564
7.850000 11.835657 8.151867
7.900000 11.683891 7.988869
7.950000 11.439035 7.828526
8.000000 11.105127 7.670793
8.050000 10.688491 7.515626
8.100000 10.197532 7.362981
8.150000 9.642477 7.212817
8.200000 9.035067 7.065091
8.250000 8.388231 6.919764
8.300000 7.715721 6.776794
8.350000 7.031743 6.636142
8.400000 6.350575 6.497769
8.450000 5.686201 6.361638
8.500000 5.051952 6.227710
8.550000 4.460171 6.095950
8.600000 3.921917 5.966321
8.650000 3.446700 5.838786
8.700000 3.042266 5.713313
8.750000 2.714432 5.589865
8.800000 2.466971 5.468410
8.850000 2.301555 5.348915
8.900000 2.217753 5.231346
8.950000 2.213083 5.115672
9.000000 2.283113 5.001861
9.050000 2.421619 4.889883
9.100000 2.620775 4.779707
9.150000 2.871389 4.671304
9.200000 3.163167 4.564643
9.250000 3.485000 4.459697
9.300000 3.825266 4.356436
9.350000 4.172138 4.254833
9.400000 4.513899 4.154862
9.450000 4.839235 4.056493
9.500000 5.137525 3.959703
9.550000 5.399094 3.864463
9.600000 5.615452 3.770750
9.650000 5.779483 3.678537
9.700000 5.885605 3.587800
9.750000 5.929879 3.498515
9.800000 5.910083 3.410658
9.850000 5.825730 3.324205
9.900000 5.678050 3.239134
9.950000 5.469920 3.155422
10.000000 5.205757 3.073047
10.050000 4.891375 2.991986
10.100000 4.533804 2.912218
10.150000 4.141087 2.833723
10.200000 3.722045 2.756478
10.250000 3.286042 2.680465
10.300000 2.842722 2.605662
10.350000 2.401761 2.532050
10.400000 1.972614 2.459610
10.450000 1.564273 2.388322
10.500000 1.185041 2.318168
10.550000 0.842338 2.249129
10.600000 0.542517 2.181187
10.650000 0.290729 2.114325
10.700000 0.090807 2.048524
10.750000 -0.054806 1.983767
10.800000 -0.145091 1.920038
10.850000 -0.180453 1.857320
10.900000 -0.162684 1.795596
10.950000 -0.094886 1.734851
